x,y,u,v
0.0,0.0,6.123233995736766e-17,1.0
0.012450777486022947,0.04789515842619113,0.06322288265545586,0.9979994324190442
0.028042278435621924,0.08539434647070406,0.11452849086481892,0.9934199639529231
0.045324893051573355,0.11312796969109268,0.15440521057184076,0.9880076067259126
0.06327298128954771,0.13182414426098904,0.18343522987656455,0.9830317982853515
0.08122633344932528,0.14224390174592397,0.20221902194833966,0.9793403224427436
0.0988316278142391,0.1451423435484915,0.21132965759173777,0.9774148432585618
0.11598713253792203,0.14124956174534153,0.21129059474117562,0.9774232883320922
0.13279203689382438,0.13126587582390442,0.20257126556714847,0.9792675233900713
0.14950061543726773,0.11586676610120131,0.18559557907481522,0.9826262163345144
0.16648077036460632,0.09571368424368137,0.16075922039417745,0.9869936540111371
0.18417622307835,0.07146763116256816,0.12845228386463978,0.9917156904929749
0.2030716197718442,0.04380300016440354,0.08908430773082109,0.9960240891244149
0.2236599843397731,0.01341970191429856,0.04310919996320695,0.9990703663298858
0.24641222062331875,-0.01894795767368998,-0.008952108625729852,0.999959929072737
0.27174867527822816,-0.052526758634771104,-0.06649313609908196,0.9977868824812787
0.30001307430356594,-0.08650511843348657,-0.12880898352331674,0.9916694236305211
0.331449401843716,-0.12003902706424166,-0.1950903220161282,0.9807852804032304
0.3661824693079479,-0.15226328135857597,-0.26442502598051243,0.9644062451245353
0.40420300506338447,-0.18230754369930213,-0.33580779476015826,0.9419305308664325
0.4453580685257619,-0.20931638318612253,-0.40815761089488917,0.9129114769070308
0.48934745642623023,-0.23247213515880322,-0.4803423698347778,0.8770810725021431
0.535726533193879,-0.2510191620927138,-0.5512095171931264,0.8343668666454346
0.5839156018874658,-0.2642879380586105,-0.6196210849542916,0.7849010836277821
0.6332155658246011,-0.2717173278501206,-0.6844911676833996,0.7290211528916127
0.6828292490481205,-0.27287349989431586,-0.7448236590568883,0.6672613557738138
0.731887383801206,-0.26746409813169625,-0.7997480034154988,0.600335848532239
0.7794779717766663,-0.2553465899803229,-0.8485508181792366,0.5291138903557042
0.8246775143878478,-0.23653008266025868,-0.890701506386389,0.4545886343948971
0.8665825083734768,-0.21117032765725124,-0.9258703834695688,0.3778412801877444
0.9043396283062966,-0.17955807708846955,-0.9539383532394373,0.3000026970192609
0.9371731664115733,-0.1421013793708184,-0.9749977386044069,0.22221478284824503
0.9644085599896874,-0.09930277125762882,-0.989344450651483,0.1455938115618771
0.985491184921243,-0.05173261236241772,-0.9974622130147552,0.07119784833621737
1.0,0.0,-1.0,1.2246467991473532e-16
